jeune,young,youthful,new,juvenile,immature,fresh
le dollar, buck, dollar, money, currency, greenback,
la marque, brand, mark, trademark, sign, label,
le jouet, toy, plaything, game, bauble, trinket,
l'égratignure, scratch, graze, abrasion, mark, scrape,
la tribu, tribe, clan, group, people, band,
le scénario, script, screenplay, plot, outline,
le nerf, nerve, boldness, sinew, fiber, courage,
le sceau, seal, stamp, signet, emblem, closure,
l'insecte, bug, insect, beetle, pest, creepy-crawly,
la réponse, response, answer, reply, reaction, retort,
la surveillance, surveillance, monitoring, watch, observation,,
le gain, gain, profit, increase, benefit, winnings,
la gâchette, trigger, catch, lever, switch, release,
la clinique, clinic, medical center, outpatient facility, surgery,,
la patience, patience, forbearance, endurance, tolerance, card game,
le traître, traitor, betrayer, turncoat, Judas, renegade,
zut, heck, darn, damn, shoot, blast,
la grêle, hail, hailstorm, sleet, greeting, barrage,
le port, port, harbor, haven, seaport, left side (nautical),
le bœuf, beef, ox, cattle, complaint, grumble,
la routine, routine, habit, daily grind, procedure, monotony,
la tenue, outfit, clothing, uniform, attire, dress,
l'aveu, confession, admission, acknowledgment, avowal,,
l'aisance, ease, comfort, facility, fluency, affluence,
l'adjoint, deputy, assistant, aide, second-in-command,,
le principal, principal, headmaster, main, chief, primary,
l'enjeu, stake, bet, interest, risk, issue,
le lien, link, bond, connection, tie, relationship,
l'industrie, industry, manufacturing, sector, trade, business,
l'argument, argument, debate, reasoning, dispute, case,
le mouvement, motion, movement, gesture, campaign, shift,
la construction, construction, building, structure, assembly, erection,
la visée, aim, targeting, intention, sighting, visa,
le clou, nail, spike, rivet, highlight, star attraction,
l'électricité, electricity, power, current, energy, wiring,
le guerrier, warrior, fighter, soldier, combatant, hero,
la fée, fairy, sprite, pixie, enchantress, elf,
la température, temperature, fever, heat, climate, degree,
la cabine, booth, cabin, cubicle, telephone booth, changing room,
l'animal de compagnie, pet, companion animal, house pet, dog or cat,,
le sport, sport, game, athletics, pastime, fun,
la caution, bail, security, guarantee, surety, deposit,
l'interruption, interruption,interrupt, break, disruption, pause,
l'air, air, tune, melody, song, atmosphere, look
la prière, prayer, request, plea, entreaty, supplication,
la conscience, conscience, awareness, consciousness, moral sense,,
le quartier général, headquarters, HQ, command center, base,,
le coq, cock, rooster, male chicken, faucet, brag,
la puce, chip, flea, bug, microchip, mark,
la culpabilité, guilt, shame,shy, remorse, blame, fault,
le frisson, chill, shiver, thrill, shudder, tingle,
la souris, mouse, rodent, computer mouse, shy person,,
le revendeur, dealer, seller, retailer, trader, pusher,
la sauvegarde, backup, safeguard, reserve, security copy,,
le paradis, paradise, heaven, Eden, bliss, utopia,
l'évêque, bishop, prelate, chess bishop, church official,,
le tronc, trunk, torso, tree trunk, chest, body,
la tradition, tradition, custom, heritage, practice, convention,
la salade, salad, lettuce, mess, jumble, nonsense,
le complexe, complex, compound, intricate, building, inferiority complex,
la moyenne, average, mean, medium, norm, typical,
la falaise, cliff, precipice, bluff, crag, escarpment,
le grec, greek, from Greece, Greek language, Hellenic,,
le nom, name, behalf of, account, title,behalf
le nom de, behalf of, name, second name, title
le punk, punk, hoodlum, rebel, music genre, tough,
le tuyau, pipe, tube, hose, tip, lead, conduit
l'échantillon, sample, specimen, example, test, swatch,
la blanchisserie, laundry, washhouse, cleaners, washing,,
l'environnement, environment, surroundings, setting, milieu, ecology,
la cage, cage, enclosure, prison, birdcage, lift shaft,
le robot, robot, automaton, machine, android, bot,
l'habitude, habit, custom, routine, practice, addiction,
l'emballage, wrap, packaging, packing, bundle, covering,
le ventre, belly, stomach, abdomen, gut, paunch,
l'avantage, benefit, advantage, perk, edge, gain,
l'évier, sink, washbasin, drain, basin,,
le bip, beep, bleep, signal, tone, pager sound,
le motif, motive, pattern, reason, ground, design,
le cirque, circus, arena, chaos, ring, spectacle,
le territoire, territory, land, domain, area, region,
la fosse, pit, trench, grave, hole, orchestra pit,
l'excuse, apology, excuse, pretext, justification, plea,
l'examen, exam, examination, test, review, inspection,
le festival, festival, celebration, fête, gala, event,
l'actrice, actress, female actor, performer, player,,
le service, service,ward,department, favor, duty,
l'activité, activity, action, occupation, exercise, event,
l'ouvrier, worker, laborer, workman, blue-collar, employee,
le policier, policeman, police officer, cop, lawman, constable,
l'abri, shelter, refuge, shed, cover, protection,
l'existence, existence, being, life, presence, reality,
l'atmosphère, atmosphere, air, mood, environment, ambiance,
le produit, product, produce, result, commodity, item,
l'entre-temps, meantime, meanwhile, interim, interval,,
la limite, limit, boundary, restriction, edge, maximum,
l'élection, election, voting, selection, choice, poll,
les sous-vêtements, underwear, undergarments, lingerie, briefs,,
le pouls, pulse, heartbeat, throb, rate, beat,
l'adieu, farewell, goodbye, parting, valediction,,
la gifle, slap, smack, blow, cuff, box on the ear,
le cri, yell, shout, scream, cry, call,
la sonnette, doorbell, bell, ringer, buzzer,,
l'aventure, adventure, escapade, experience, risk, story,
le passeport, passport, travel document, ID, visa holder,,
le marteau, hammer, mallet, gavel, tool, striker,
le capot, hood, bonnet, cover, engine cover, cloak,
le jugement, judgment, judgement, decision, opinion, sentence,
l'homicide, homicide, murder, killing, manslaughter, slaying,
la patrouille, patrol, round, guard, watch, squad,
le flux, flow, flux, stream, current, tide,
la clôture, fence, enclosure, closure, hedging, finishing,
le midi, noon, midday, twelve o'clock, lunchtime,,
l'occasion, occasion, opportunity, event, bargain, chance,
la personnalité, personality, character, individual, celebrity, persona,
la fantaisie, fantasy, fancy, whim, imagination, notion,
la production, production, output, manufacturing, yield, show,
la cote, side, rating, quotation, estimate, score,
la signature, signature, signing, autograph, mark, endorsement,
l'individu, individual, person, single, being, character,
le charme, charm, appeal, enchantment, attractiveness, spell,
le cadre, frame, framework, executive, setting, border,
le soulagement, relief, alleviation, comfort, easement, respite,
le nuage, cloud, mist, vapor, swarm, gloom,
le cadavre, corpse, body, remains, cadaver, carcass,
l'organisation, organization, organisation, arrangement, structure, body,
l'hôte, host, guest, landlord, entertainer, organism,
le transport, transport, transportation, carriage, conveyance,,
l'oxygène, oxygen, O2, vital gas, air element,,
le citoyen, citizen, national, inhabitant, subject, resident,
l'impact, impact, effect, collision, influence, impression,
l'offense, offense, offence, insult, crime, violation,
le producteur, producer, maker, grower, manufacturer, creator,
le kit, kit, set, equipment, outfit, package,
la pub, ad, advertisement, bar, public house,,
l'escorte, escort, accompaniment, guard, companion, protection,
l'invitation, invitation, invite, request, summons, card,
le terroriste, terrorist, bomber, extremist, militant, insurgent,
l'argile, clay, earth, mud, pottery material, soil,
la tragédie, tragedy, disaster, drama, catastrophe, play,
les mathématiques, math, mathematics, maths, arithmetic, calculation,
l'abri, shed, shelter, refuge, lean-to, hut,
la procédure, procedure, process, method, routine, protocol,
le moniteur, monitor, screen, instructor, supervisor, coach,
la rotation, rotation, turn, revolution, twist,
le clown, clown, jester, buffoon, comedian, fool,
le collier, necklace, collar, chain, beads, pendant,
la boue, mud, mire, sludge, dirt, ooze,
le profil, profile, outline, side view, description, shape,
l'angle, angle, corner, viewpoint, perspective, measure,
le meuble, furniture, piece of furniture, movable, fitting,,
les fiançailles, engagement, betrothal, wedding plans, promise,foundrasing,finances
le crétin, moron, idiot, fool, cretin, imbecile,
le requin, shark, swindler, predator, loan shark, fish,
l'humanité, humanity, humankind, mankind, compassion, human race,
le claquement, snap, click, crack, slap, bang,
les ventes, sales, selling, turnover, revenue, transactions,
l'écurie, stable, horse stable, team, group, stall,
la mamie, granny, grandma, nana, gran, grandmother,
le poteau, pole, post, stake, pillar, mast,
le danseur, dancer, performer, ballet dancer, mover, stepper,
le métrage, footage, length, yardage, film footage, measurement,
l'augmentation, increase, rise, raise, growth, increment,
l'étirement, stretch, extension, elongation, workout, tension,
la romance, romance, love story, romanticism, affair, ballad,
l'hélicoptère, helicopter, chopper, copter, rotary aircraft,,
le lancer, throw, launch, kick, cast, toss,landscape,land
l'exemple, example, instance, case, illustration, sample,
le citron, lemon, citrus, sour fruit, yellow, car (slang),
le mal de tête, headache, migraine, pain in head, nuisance,,
les déchets, rubbish, waste, garbage, trash, refuse,
la séance, session, sitting, meeting, show, séance,
l'épingle, pin, needle, brooch, hairpin, badge,
la chambre, chamber, room, bedroom, house, compartment,
la publicité, commercial, advertisement, publicity, ad, promo,
le foie, liver, organ, food, courage (figurative),,
l'ingénieur, engineer, technician, designer, builder, expert,
le souper, supper, evening meal, dinner, late meal,,
l'alcool, liquor, alcohol, spirits, booze, drink,
la perceuse, drill, drilling machine, borer, brace,,
la ruelle, alley, lane, backstreet, passage, narrow street,
le saut, jump, leap, bound, skip,clap,click
la destruction, destruction, demolition, ruin, devastation, annihilation,
la camelote, junk, rubbish, trash, cheap goods, tat,
la fusée, rocket, missile, firework, spacecraft, flare,
l'aîné, elder, senior, older person, firstborn, superior,
l'opéra, opera, musical drama, theatre, work,,
l'autoroute, highway, motorway, expressway, freeway,,
le combattant, fighter, combatant, warrior, soldier, boxer,
la coquille, shell, husk, casing, cartridge, conch,
l'alpha, alpha, beginning, first, dominant, Greek letter,
la liberté, liberty, freedom, release, autonomy, right,
le chirurgien, surgeon, doctor, operative, medical specialist,,
le clochard, bum, tramp, vagrant, beggar, homeless person,
la veuve, widow, bereaved woman, surviving spouse,,,
améliorer,improve,upgrade,extend,pick up,change,boost
le révérend, reverend, clergyman, minister, priest, pastor,
l'insulte, insult, affront, abuse, slur, offense,
le commentaire, comment, commentary, remark, note, observation,
le savon, soap, detergent, bar, lather, cleansing agent,
l'échelle, scale, ladder, hierarchy, proportion, range,
le chagrin, grief, sorrow, sadness, distress, affliction,
le genou, knee, joint, lap, bend, articulation,
la salope, slut, whore, bitch, promiscuous woman, harlot,
l'album, album, record, book, collection, photo album,
l'accusé, defendant, accused, prisoner, charged person,,
la déesse, goddess, deity, divine female, idol, beauty,
la courbe, bend, curve, turn, arc, curvature,
le maquillage, makeup, cosmetics, disguise, war paint, preparation,
la loyauté, loyalty, faithfulness, allegiance, fidelity, devotion,
la poudre, powder, dust, face powder, gunpowder, talc,
le gène, gene, genetic unit, factor, heredity element,,
le régime, diet, regimen, government, regime, speed,
le parent, parent, relative, mother or father, kin,,
la confiture, jam, preserve, jelly, marmalade, spread,
le salaire, salary, wage, pay, earnings, remuneration,
le latin, latin, Latin language, from Latium, classical,,
la population, population, people, inhabitants, populace, number,
l'ambassadeur, ambassador, diplomat, envoy, representative,,
le casier, locker, compartment, pigeonhole, cabinet, record,
l'éloge, praise, eulogy, commendation, laudation, tribute,
le trauma, trauma, injury, shock, wound, psychological damage,
le rivage, shore, bank, coast, beach, seaside,
la richesse, wealth, riches, affluence, opulence, bounty,
la lune de miel, honeymoon, wedding trip, post-wedding vacation,,,
la lame, blade, knife edge, wave, sheet, strip,
le whisky, whiskey, scotch, bourbon, spirit, liquor,
le noyau, core, nucleus, kernel, pit, center,
l'aide, aid, help, assistance, relief, support,
la tente, tent, marquee, pavilion, canopy, shelter,
la blonde, blonde, fair-haired woman, light beer, ash blonde,,
l'intention, intention, purpose, aim, intent, plan,
l'abus, abuse, misuse, mistreatment, excess, violation,
la poésie, poetry, verse, poems, literature,
le jet, jet, stream, spurt, airplane, black gem,
la résistance, resistance, opposition, endurance, strength, resistor,
la barbe, beard, facial hair, whiskers, goatee, stubble,
la stratégie, strategy, plan, tactic, approach, scheme,
la chèvre, goat, nanny goat, billy goat, kid, capricious person,
le prix, award, prize, price, cost, value,
le maïs, corn, maize, sweetcorn, grain, popcorn,
le professionnel, pro, professional, expert, specialist,,
le filet, net, netting, mesh, snare, network,
le tatouage, tattoo, ink, body art, marking, design,
l'attaque, stroke, attack, assault, fit, onset,
le roman, novel, romance, story, fiction, book,
le chaos, chaos, disorder, confusion, turmoil, pandemonium,
le collègue, colleague, coworker, associate, fellow worker, partner,
le scientifique, scientist, researcher, scholar, expert,,
le conte, tale, story, fairy tale, narrative, account,
l'entrepôt, warehouse, storehouse, depot, repository, stockroom,
l'éléphant, elephant, pachyderm, large mammal, trunked animal,,
l'otage, hostage, captive, prisoner, pawn, detainee,
la branche, branch, bough, limb, division, arm,
l'objection, objection, protest, demurrer, exception, dissent,
le tour, lap, turn, circuit, round, trick,
la possession, possession, ownership, property, control, thing owned,
le robinet, tap, faucet, spigot, valve, cock,
le supérieur, superior, higher, better, boss, upper,
le menton, chin, jaw, beard area, point,,
le soda, soda, soft drink, pop, carbonated beverage,,
la commission, commission, committee, fee, percentage, task,
le cinéma, cinema, movie theater, films, motion pictures,,
le muscle, muscle, sinew, strength, brawn, tissue,
le poème, poem, verse, poetry, rhyme, composition,
l'appel, appeal, call, summons, plea, phone call,
le steak, steak, beefsteak, slice of meat, grill,,
la survie, survival, surviving, endurance, continuation, life,
le profit, profit, gain, benefit, advantage, earnings,
le symbole, symbol, sign, emblem, token, representation,
la folie, madness, folly, insanity, craziness, mania,
le développement, development, growth, progress, evolution, expansion,
la voile, sail, veil, covering, canvas, mist,
la dent, tooth, denture, fang, tine, cog,
la critique, review, criticism, critique, analysis, comment,
le basketball, basketball, hoops, court game, ball sport,,
la gestion, management, administration, handling, control,,
le tube, tube, pipe, cylinder, subway, test tube,
le fusil de chasse, shotgun, hunting rifle, scattergun,,,
la fourrure, fur, pelt, coat, hair, skin,
le gin, gin, spirit, juniper liquor, trap, snare  ,
le sec,dry,arid,parched,dehydrated,barren,wit
la région,region,area,district,zone,territory,province
la solution,solution,answer,fix,key,way,outcome
l'anniversaire,birthday,celebration,commemoration,memorial,
l'énervé,annoyed,angry,irritated,calm,happy,sad
mais,but,and,or,so,then,because
ou,or,and,but,where,when,why
jamais,never,always,sometimes,often,rarely,usually
le changement,change,alteration,shift,modification,variation,swap
encore,still/yet/again,already,never,just,soon
pas encore,not yet,already,still,never,just,soon
chaque,each/every,all,some,any,none,both
l'an,year,age,time,day,month,period
avant,before,after,during,while,until,since
l'affaire,matter,affair,business,deal,issue,concern
le gouvernement,government,administration,regime,authority,ruling,rule
l'acte,act,action,deed,document,certificate,law
le succès,success,achievement,victory,accomplishment,triumph,win
la douleur,pain,ache,suffering,hurt,agony,discomfort
la,the (fem),a,an,this,that,she
le,the (masc),a,an,this,that,he
les,the (plur),a,an,these,those,they
le siècle,century,100 years,era,age,period,time
le billet,ticket, note,bill,money,entry,pass
âme, soul, spirit, mind, essence, heart, ghost
la liste, list, roster, inventory, catalog, register, schedule
l'or, gold, golden, treasure, wealth, riches, yellow metal
l'après-midi, afternoon, midday, noontime, daytime, post-lunch, early evening
l'agent, agent, representative, operative, spy, broker, officer
le détective, detective, investigator, sleuth, inspector, private eye, gumshoe
la réparation, repair, mending, restoration, correction, overhaul
le respect, respect, esteem, regard, admiration, deference, honor
la petite amie, girlfriend, lover, sweetheart, partner, date, beau
l'ivresse, drunk, intoxication, drunkenness, inebriation, tipsiness, stupor
le cerveau, brain, mind, intellect, head, cerebrum, intelligence
la cellule, cell, unit, chamber, compartment, prison cell, battery cell
le désordre, mess, disorder, chaos, clutter, disarray, confusion
l'odeur, smell, scent, odor, aroma, fragrance, stench
la mouche, fly, insect, bug, housefly, pest, dipteran
le tueur, killer, assassin, slayer, executioner, butcher
la scène, scene, stage, setting, act, spectacle, incident
la carte, card, map, ticket, menu, chart, playing card
l'anglais, english, British, Anglo, English language, UK language, Brit
l'église, church, cathedral, chapel, temple, shrine, basilica
la glace, ice, frozen water, sorbet, mirror, ice cream, frost
la fenêtre, window, pane, opening, glass, casement, porthole
la part, share, portion, piece, division, allocation, stake
le rire, laugh, laughter, chuckle, giggle, snicker, roar
le lieutenant, lieutenant, deputy, second-in-command, officer, assistant, subordinate
le cri, cry, shout, scream, yell, wail, call
la visite, visit, call, trip, tour, inspection, visitation
le siège, seat, chair, throne, headquarters, position, siege
l'enseignant, teacher, instructor, educator, tutor, lecturer, professor
la relation, relationship, connection, link, affair, association, bond
le plaisir, pleasure, enjoyment, delight, fun, joy, satisfaction
l'appareil photo, camera, photographic device, cam, lens, shooter, recorder
le collège, college, secondary school, high school, academy, institution, school
le juge, judge, justice, magistrate, arbiter, adjudicator, referee
la position, position, location, posture, stance, situation, placement
le petit ami, boyfriend, lover, partner, beau, date, sweetheart
le mur, wall, barrier, partition, fence, blockade, enclosure
le privé, private, personal, confidential, exclusive, secret, intimate
l'arrêt, stop, halt, cessation, pause, bus stop, arrest
le français, french, French language, Gallic, France-related, French person,
l'art, art, fine art, artwork, skill, craft, artistry
la machine, machine, device, apparatus, mechanism, engine, appliance
le vert, green, emerald, verdant, eco, grassy, inexperienced
le policier, cop, policeman, officer, police officer, lawman, constable
le vin, wine, vintage, red wine, white wine, beverage, alcohol
l'appartement, apartment, flat, condo, unit, dwelling, residence
le village, village, hamlet, small town, settlement, community, countryside
les félicitations, congratulations, well done, bravo, kudos, felicitations, cheers
la blague, joke, jest, gag, prank, quip, funny story
le mal, evil, bad, harm, wickedness, ill, malice
l'avocat, lawyer, attorney, barrister, solicitor, legal counsel, advocate
le champ, field, meadow, area, domain, terrain, farmland
le contact, contact, touch, connection, communication, link, acquaintance
le magasin, store, shop, department store, supermarket, warehouse, outlet
les gars,guys,train stations,wars,stops,stations,trains,
la boutique, shop, boutique store, small shop, specialty store, stall, emporium
la madame, madam, Mrs., lady, ma'am, gentlewoman, missus
le doute, doubt, uncertainty, suspicion, hesitation, misgiving, skepticism
l'avion, plane, airplane, aircraft, jet, airliner, flight
l'argent liquide, cash, ready money, banknotes, currency, coins, money in hand
l'île, island, isle, atoll, islet, landmass, archipelago
le chat, cat, feline, kitten, kitty, tomcat, puss
la décision, decision, choice, resolution, determination, verdict, ruling
la bière, beer, ale, lager, brew, pint, stout  
la poussée, push, shove, thrust, pressure, force, nudge
le sud, south, southern, south direction, south side, southward,
le cadeau, gift, present, pie, cake, surprise, cadence
le verre, glass, drinking glass, tumbler, pane, crystal, goblet
l'arbre, tree, plant, oak, pine, maple, woodland
l'ours, bear, grizzly, polar bear, teddy bear, animal, beast
le nord, north, northern, north direction, northward, north side,
le bus, bus, coach, shuttle, vehicle, public transport, minibus
le partenaire, partner, companion, associate, teammate, collaborator, ally
la saisie, grab, seizure, capture, confiscation, grip, taking
la victime, victim, casualty, sufferer, injured party, prey, target
l'ordinateur, computer, PC, laptop, desktop, machine, device
le camion, truck, lorry, van, vehicle, freight truck, pickup
la réussite, achievement,attainment, access, range, grasp, reach
la planche, board, plank, wooden board, surfboard, shelf, panel
la graisse, fat, grease, lard, blubber, oil, adipose
la planète, planet, world, earth, globe, celestial body, sphere
la recherche, search, research, investigation, quest, inquiry, exploration
le vent, wind, breeze, gust, airflow, gale, draft
l'arrestation, arrest, detention, capture, apprehension, seizure, custody
le saut, jump, leap, hop, bound, spring, vault
le soutien, support, backing, aid, assistance, help, reinforcement
la magie, magic, sorcery, witchcraft, enchantment, illusion, spell
la merde, crap, shit, bullshit, nonsense, junk, rubbish
la cuisine, kitchen, cooking, culinary, food preparation, galley, cookery
l'été, summer, summertime, warm season, holiday season, hot weather,
le patient, patient, sick person, case, inpatient, outpatient, sufferer
la tante, aunt, auntie, relative, mother's sister, father's sister,
l'expérience, experience, experiment, trial, knowledge, skill, background
le paradis, heaven, paradise, Eden, bliss, utopia, afterlife
la rivière, river, stream, waterway, brook, creek, flow
l'évasion, escape, breakout, getaway, flight, evasion, elopement
l'adresse, address, location, residence, speech, direction,
le pied, foot, leg, base, step, paw, footing
la lune, moon, satellite, lunar, moonlight, celestial body,
le compagnon, mate, companion, partner, buddy, comrade, fellow
le match, match, game, contest, competition, fixture, bout
le final, final, last, ultimate, concluding, decisive, end
la fumée, smoke, fume, vapor, smog, haze, puff
le blâme, blame, reproach, censure, accusation, fault, criticism
la pression, press, pressure, stress, strain, force, squeeze
le sourire, smile, grin, beam, smirk, simper, cheerful look
le type, type, kind, sort, category, variety, guy
la mission, mission, task, assignment, duty, quest, operation
la faveur, favor, favour, kindness, goodwill, preference, boon
l'action, action, act, deed, movement, share, lawsuit
le devoir, duty, task, responsibility, must
le prix, price, cost, prize, value, rate, award
la garde, guard, watch, keeper, protection, sentry, custody
le risque, risk, danger, hazard, chance, peril, gamble
l'avis, opinion, advice, warning, announcement, view
l'ennemi, enemy, foe, adversary, opponent, rival, antagonist
la course, race, running, errand, dash, sprint, competition
le costume, suit, outfit, attire, clothing, dress
l'ajustement, fit, adjustment, fitting, adaptation, tailoring, alignment
le directeur, director, manager, head, chief, leader, supervisor
la tache, spot, stain, mark, dot, blot, speck
la croix, cross, crucifix, intersection, mark, X, sign
le bras, arm, limb, branch, sleeve, weapon, inlet
le haut de l'escalier, upstairs, upper floor, top of stairs, above, overhead,
le poulet, chicken, poultry, hen, rooster, bird, meat
le département, department, division, section, region, ministry, area
le héros, hero, protagonist, champion, idol, savior, superstar
le gaz, gas, fuel, vapor, fumes, natural gas, petrol
le sergent, sergeant, officer, NCO, rank, military leader,
le bas, low, bottom, base, downstairs, lower, inferior
la jambe, leg, limb, shank, lower limb, calf, thigh
le goût, taste, flavor, liking, preference, palate, sense
le gaspillage, waste, wastage, squandering, loss, rubbish, extravagance
l'ouest, west, western, westward, west side, occident,
le tas, bunch, pile, heap, lot, stack, mass
la bataille, battle, fight, combat, war, clash, struggle
l'étude, study, research, learning, survey, investigation, analysis
la mention, mention, reference, citation, note, remark, allusion
la cloche, bell, church bell, chime, toll, alarm, cowbell
la scène, stage, scene, setting, phase, platform, spectacle
le trou, hole, pit, gap, opening, cavity, puncture
le verrou, lock, bolt, latch, deadbolt, padlock, fastener
l'arme, weapon, arm, firearm, gun, tool, instrument
l'énergie, energy, power, vigor, vitality, force, strength
la friandise, treat, sweet, candy, delicacy, snack, dessert
la brûlure, burn, scald, injury, blister, sunburn, sting
la forme, form, shape, figure, appearance, format, condition
le ciel, sky, heaven, heavens, firmament, blue, atmosphere
le petit-déjeuner, breakfast, morning meal, brunch, first meal, brekkie,
le groupe, band, team, ensemble, cluster
la piste, track, trail, path, runway, course, lane
l'esprit, spirit, mind, soul, ghost, wit, intellect
le nez, nose, snout, beak, olfactory organ, proboscis,
le favori, favorite, favourite, preferred, pet, choice, beloved
la mémoire, memory, recollection, remembrance, recall, storage, mind
le rire, laughter, laugh, chuckle, giggle, roar, mirth
le rouleau, roll, roller, scroll, cylinder, bun, coil
le témoin, witness, eyewitness, observer, spectator, testifier,
le double, double, twin, duplicate, twofold, replica, pair
la salle de bains, bathroom, restroom, washroom, lavatory, toilet, bath
la construction, build, construction, building, structure, assembly, erection
la bombe, bomb, explosive, device, grenade, shell, blockbuster
la pression, pressure, stress, strain, force, compression, tension
le vol, flight, theft, flying, robbery, soar, journey by air
l'intérêt, interest, stake, concern, curiosity, benefit, advantage
la gorge, throat, gullet, neck, ravine, canyon, gorge
le coût, cost, expense, price, charge, expenditure, fee
le danger, danger, hazard, peril, risk, threat, menace
le trou du cul, asshole, idiot, jerk, fool, prick, moron
le cou, neck, throat, collar, nape, cervix, bottleneck
le suspect, suspect, suspicious person, accused, defendant, culprit,
la bouteille, bottle, flask, vial, container, jug, carafe
la beauté, beauty, loveliness, attractiveness, grace, charm, prettiness
la nature, nature, environment, character, essence, type, kind
la vidéo, video, clip, film, recording, footage, movie
la pluie, rain, rainfall, shower, downpour, precipitation, drizzle
le camp, camp, campsite, encampment, base, summer camp, group
la honte, shame, disgrace, embarrassment, humiliation, guilt, regret
le conducteur, driver, operator, conductor, chauffeur, pilot, motorist
l'oiseau, bird, avian, fowl, sparrow, eagle, feathered creature
la foule, crowd, throng, mob, multitude, mass, horde
le niveau, level, standard, degree, floor, stage, height
la foi, faith, belief, trust, religion, confidence, creed
le commandant, commander, leader, chief, captain, commandant, officer
le client, client, customer, patron, buyer, consumer, guest
le moteur, engine, motor, power unit, machine, mechanism,
le pop, pop, popular, soda, father, burst, music genre
l'animal, animal, creature, beast, pet, wildlife, brute
le diable, devil, demon, satan, fiend, evil one, hellion
le week-end, weekend, Saturday-Sunday, rest days, two-day break, holiday,
la pierre, stone, rock, pebble, gem, boulder, gravestone
la chérie, darling, dear, love, babe
la peau, skin, hide, dermis, leather, surface, rind
le couteau, knife, blade, cutter, dagger, pocket knife, tool
la drogue, drug, narcotic, medicine, substance, dope, medication
l'aveugle, blind, sightless, visually impaired, unseeing, blinded,
l'allemand, german, German language, Teutonic, Deutsch, from Germany,
la plage, beach, seashore, shoreline, coast, sands, seaside
le chapeau, hat, cap, headwear, bonnet, fedora, helmet
le local, local, nearby, regional, neighborhood, native, area
le code, code, cipher, law, programming code, zip code, rules
le hall, hall, lobby, entrance hall, foyer, corridor, vestibule
l'occasion, opportunity, chance, occasion, event, bargain, moment
la connerie, bullshit, nonsense, crap, rubbish, idiocy, folly
le coin, corner, angle, nook, spot, edge, cranny
la tasse, cup, mug, teacup, coffee cup, vessel, chalice
la justice, justice, fairness, law, equity, righteousness, court
le fond, bottom, base, depth, background, foundation, essence
le fantôme, ghost, phantom, specter, spirit, apparition, spook
le restaurant, restaurant, eatery, café, diner, bistro, tavern
l'est, east, eastern, eastward, orient, sunrise direction,
le camarade, fellow, comrade, buddy, mate, colleague, pal
la note, note, bill, grade, message, annotation, memo
le chef, leader, boss, chief, head, commander, cook
la santé, health, well-being, fitness, wellness, condition, hygiene
l'ange, angel, cherub, seraph, heavenly being, guardian, saint
la règle, rule, regulation, ruler, principle, law, guideline
le cousin, cousin, relative, kinsman, first cousin, family member,
le conseil, advice, counsel, board, committee, tip, recommendation
le pardon, pardon, forgiveness, excuse, mercy, apology, reprieve
le lait, milk, dairy, cow's milk, liquid, white drink, calcium source
la vitesse, speed, velocity, quickness, pace, rate, swiftness
le dossier, file, folder, record, case, document, portfolio
ruban, ribbon, band, strip, gang, belt
la pratique, practice, training, custom, habit, exercise, routine
l'urgence, emergency, urgency, crisis, rush, priority, accident
le pont, bridge, span, overpass, deck, connection, viaduct
l'entraîneur, coach, trainer, instructor, manager, tutor, mentor
l'inspecteur, inspector, examiner, investigator, auditor, checker,
le ministre, minister, pastor, secretary, priest, government official,
les applaudissements, applause, clapping, ovation, cheers, handclap,
la conversation, conversation, talk, discussion, chat, dialogue, exchange
le compte, account, count, calculation, bill, report, tally
le souffle, breath, breathing, puff, gust, whisper, sigh
l'équipage, crew, team, staff, personnel, ship's company, group
la viande, meat, flesh, beef, pork, protein, food
le gâteau, cake, pastry, dessert, tart, pie, gift
la force, strength, power, force, might, energy, intensity
la carrière, career, profession, job path, quarry, course, vocation
la vue, sight, view, vision, outlook, scene, perspective
le vote, vote, voting, ballot, poll, election, choice
la copie, copy, duplicate, replica, reproduction, transcript, imitation
l'absurdité, nonsense, absurdity, foolishness, silliness, idiocy, rubbish
l'étudiant, student, pupil, learner, scholar, undergraduate, trainee
le procès, trial, lawsuit, court case, legal proceedings, hearing,
la liberté, freedom, liberty, independence, release, autonomy, choice
le marché, market, marketplace, fair, trade, stock market, deal
le manager, manager, boss, supervisor, director, handler, executive
la taille, size, height, waist, stature, dimension, scale
l'opération, operation, surgery, procedure, action, mission, transaction
l'astuce, trick, tip, hack, gadget, ruse, clever idea
le paquet, pack, package, parcel, bundle, bunch, packet
le monstre, monster, beast, creature, giant, freak, villain
le centre, center, centre, middle, hub, core, focus
le voyage, travel, journey, amusement, tour, excursion,event
glissant,slippery,smooth,straight,steady,solid,strong
la cible, target, goal, objective, mark, bullseye, prey
la science, science, knowledge, study, discipline, research, learning
le projet, project, plan, scheme, proposal, undertaking, design
l'alimentation, feed, food, nutrition, supply, diet, power supply
le crédit, credit, loan, trust, recognition, score, acclaim
le suicide, suicide, self-killing, self-destruction, taking one's life,,
l'enquête, investigation, inquiry, probe, survey, research, examination
l'infirmière, nurse, caregiver, medical assistant, sister, RN,
l'huile, oil, lubricant, petroleum, cooking oil, olive oil,
le criminel, criminal, offender, lawbreaker, felon, crook, convict
tout droit,straight,left,right,bottom,top,beneath
