cet, этот, тот, данный, указанный, конкретный, такой
le spécialiste, специалист, узкий специалист, эксперт, консультант, профильный врач, доктор-специалист
le chirurgien, хирург, операционный врач, врач-хирург, специалист по операциям, хирургический доктор, оперирующий врач
l'infirmier, медбрат, медицинская сестра, медработник, помощник врача, санитар, больничный персонал
le kinésithérapeute, физиотерапевт, специалист по движению, реабилитолог, массажист-терапевт, кинезитерапевт, восстановительный специалист
le pharmacien, фармацевт, аптекарь, специалист по лекарствам, провизор, работник аптеки, продавец медикаментов
l'hôpital, больница, стационар, медицинское учреждение, госпиталь, лечебница, клиника
la clinique, клиника, частная клиника, медицинский центр, небольшая больница, амбулатория, лечебное учреждение
les urgences, неотложная помощь, скорая, отделение неотложки, экстренная помощь, приёмный покой, реанимация
la consultation, консультация, приём врача, осмотр, визит к врачу, медицинская консультация, беседа с доктором
l'examen, обследование, анализ, проверка, медицинский тест, диагностика, осмотр
le diagnostic, диагноз, определение болезни, заключение врача, медицинский вердикт, распознавание, анализ состояния
le traitement, лечение, терапевтический курс, терапия, медицинское лечение, курс процедур, врачебное воздействие
la thérapie, терапия, лечебный курс, психологическая терапия, лечение, реабилитация, метод лечения
la guérison, выздоровление, исцеление, восстановление, поправка, возвращение здоровья, излечение
la prévention, профилактика, предупреждение, предотвращение, защитные меры, превентивные действия, охрана здоровья
le vaccin, вакцина, прививка, иммунизирующее средство, профилактическая инъекция, защитный препарат, вакцинация
vacciner, вакцинировать, делать прививку, иммунизировать, вводить вакцину, защищать прививкой, профилактировать
se faire vacciner, делать прививку, вакцинироваться, получать вакцину, проходить иммунизацию, ставить прививку, защищаться вакциной
l'assurance, страховка, медицинская страховка, покрытие, полис страхования, защита, страховая гарантия
la mutuelle, дополнительная страховка, взаимное страхование, медицинская взаимопомощь, кооперативная страховка, дополнительное покрытие, взаимный фонд
la carte vitale, медицинская карта, социальная карта здоровья, французская карта страхования, электронная карта здоровья, страховой документ, карта социального обеспечения
le dossier médical, медицинская карта, история болезни, медицинское досье, карточка пациента, история лечения, файл здоровья
l'antécédent, медицинский анамнез, история болезни, предыдущие заболевания, фон здоровья, предыстория, прошлые болезни
le rendez-vous, приём, запись к врачу, встреча с врачом, назначенное время, визит, консультация
annuler un rendez-vous, отменять приём, снимать запись, переносить встречу, отказываться от визита, аннулировать встречу, отменять консультацию
reporter un rendez-vous, переносить приём, сдвигать встречу, менять дату, откладывать визит, перезаписывать, перемещать время
confirmer un rendez-vous, подтверждать приём, закреплять встречу, утверждать запись, фиксировать визит, верифицировать встречу, подтверждать консультацию
prendre rendez-vous, записываться на приём, бронировать встречу, назначать визит, договариваться о времени, резервировать консультацию, оформлять запись
avoir mal à, болеть, испытывать боль, ощущать неприятность, страдать от боли, ныть, чувствовать дискомфорт
avoir de la fièvre, иметь температуру, быть в жару, лихорадить, повышать температуру, болеть жаром, иметь жар
se sentir mal, плохо себя чувствовать, ощущать недомогание, чувствовать себя больным, испытывать слабость, быть нездоровым, ощущать дискомфорт
appeler les urgences, вызывать скорую, звонить в неотложку, обращаться за экстренной помощью, набирать 103, вызывать помощь, просить экстренную помощь
aller aux urgences, идти в приёмный покой, обращаться в неотложку, ехать в больницу, посещать экстренное отделение, обращаться за срочной помощью, ехать в реанимацию
être sous traitement, проходить лечение, быть на терапии, принимать курс, находиться под наблюдением, получать лечение, лечиться
suivre un traitement, следовать лечению, соблюдать курс, выполнять предписания, принимать препараты, придерживаться терапии, выполнять назначения
arrêter un traitement, прекращать лечение, останавливать курс, завершать терапию, бросать приём, прерывать лечение, отказываться от препаратов
prendre un médicament, принимать лекарство, пить таблетку, употреблять препарат, использовать средство, глотать пилюлю, следовать назначению
à jeun, натощак, на пустой желудок, перед едой, без пищи, до приёма пищи, голодный желудок
l'estomac vide, пустой желудок, натощак, голодный желудок, без еды, до завтрака, очищенный желудок
avant/après les repas, до/после еды, перед/после приёма пищи, до/после трапезы, перед/после обеда, до/после питания, в связи с едой
une fois par jour, один раз в день, ежедневно, суточная доза, раз в сутки, однократный приём, дневная норма
deux fois par jour, два раза в день, дважды в сутки, утренний и вечерний приём, бис ежедневно, двойная доза, дважды
trois fois par jour, три раза в день, трижды в сутки, утром днём и вечером, тройная доза, три приёма, тер ежедневно
toutes les 8 heures, каждые 8 часов, через каждые восемь часов, интервал 8 часов, периодический приём, восьмичасовой цикл, регулярный интервал
en cas d'urgence, в случае чрезвычайной ситуации, при экстренной необходимости, если срочно, в критическом случае, при неотложке, в аварийной ситуации
ne pas dépasser la dose, не превышать дозу, соблюдать дозировку, не выходить за пределы, придерживаться нормы, не перебирать, безопасная доза
effets secondaires, побочные эффекты, нежелательные реакции, осложнения, вторичные последствия, побочные действия, негативные реакции
contre-indiqué, противопоказан, не рекомендуется, запрещён, недопустим, опасен, несовместим
allergique à, аллергичен на, чувствителен к, имеет аллергию, реагирует на, непереносим к, противопоказан при аллергии
intolérant à, непереносим к, чувствителен к, имеет непереносимость, реагирует негативно, не переносит, противопоказан при непереносимости
grossesse, беременность, ожидание ребёнка, период вынашивания, состояние беременности, гестация, плодный период
allaitement, грудное вскармливание, кормление грудью, лактация, период кормления, естественное питание младенца, молочное кормление
enfant, ребёнок, дитя, малыш, несовершеннолетний, маленький человек, отпрыск
adulte, взрослый, совершеннолетний, зрелый человек, большой человек, взрослый индивид, сформировавшийся
personne âgée, пожилой человек, старик, престарелый, старший возраст, пенсионер, человек в годах
handicap, инвалидность, ограничение возможностей, физический недостаток, нарушение функций, инвалидное состояние, дефект
handicapé, инвалид, человек с ограниченными возможностями, нетрудоспособный, имеющий инвалидность, особенный человек, с дефектом
valide, здоровый, трудоспособный, без ограничений, полноценный, нормальный, дееспособный
en bonne santé, в хорошем здоровье, здоровый, в отличной форме, благополучный, крепкий, полный сил
en mauvaise santé, в плохом здоровье, нездоровый, больной, ослабленный, в болезненном состоянии, не в форме
se rétablir, выздоравливать, поправляться, восстанавливаться, приходить в норму, улучшаться, набираться сил
guérir, излечиваться, вылечиваться, исцеляться, поправляться, преодолевать болезнь, восстанавливаться
soigner, лечить, ухаживать, оказывать помощь, заботиться, проводить терапию, помогать больному
surveiller, наблюдать, контролировать, следить, мониторить, присматривать, проверять состояние
examiner, осматривать, обследовать, проверять, изучать, проводить осмотр, диагностировать
ausculter, выслушивать, аускультировать, прослушивать, проверять стетоскопом, исследовать лёгкие, слушать сердце
palper, ощупывать, пальпировать, прощупывать, исследовать руками, касаться, проверять на ощупь
prescrire, прописывать, назначать, выписывать рецепт, рекомендовать лекарство, предписывать, выдавать назначение
délivrer, выдавать, отпускать, предоставлять, доставлять, снабжать, отпускать лекарство
conseiller, советовать, рекомендовать, давать совет, консультировать, подсказывать, направлять
mettre en garde, предупреждать, предостерегать, ставить в известность, давать предупреждение, остерегать, сигнализировать
rassurer, успокаивать, утешать, обнадёживать, снимать тревогу, придавать уверенность, подбадривать
expliquer clairement, объяснять ясно, разъяснять, толковать понятно, делать понятным, растолковывать, давать чёткое объяснение
comprendre les instructions, понимать инструкции, усваивать указания, следовать предписаниям, схватывать, воспринимать, разбираться в указаниях
poser des questions, задавать вопросы, спрашивать, интересоваться, уточнять, выяснять, обращаться с вопросами
répondre aux questions, отвечать на вопросы, давать ответы, разъяснять, реагировать, предоставлять информацию, удовлетворять любопытство
exprimer ses préoccupations, выражать обеспокоенность, делиться тревогами, озвучивать проблемы, высказывать волнения, говорить о заботах, сообщать о тревоге
écouter attentivement, слушать внимательно, внимательно выслушивать, сосредоточиваться, воспринимать внимательно, уделять внимание, вникать
prendre des notes, делать заметки, записывать, вести записи, фиксировать, конспектировать, отмечать
noter les symptômes, отмечать симптомы, записывать признаки, фиксировать проявления, вести учёт симптомов, регистрировать жалобы, отслеживать признаки
tenir un journal de santé, вести дневник здоровья, записывать состояние, документировать самочувствие, отслеживать здоровье, фиксировать данные, вести медицинский журнал  
le travail, работа, труд, занятие, деятельность, дело, служба
l'emploi, работа, занятость, должность, трудоустройство, место работы, профессия
le poste, должность, позиция, рабочее место, пост, роль, вакансия
la profession, профессия, специальность, занятие, род деятельности, карьера, ремесло
le métier, профессия, ремесло, специальность, занятие, мастерство, дело
la carrière, карьера, профессиональный путь, карьерный рост, траектория, продвижение, развитие
le recrutement, набор персонала, рекрутинг, подбор кадров, найм, отбор сотрудников, комплектация штата
l'embauche, найм, приём на работу, трудоустройство, зачисление, оформление, начало работы
le contrat, договор, контракт, соглашение, трудовой договор, условия, документ
le CDI, бессрочный контракт, постоянный договор, стабильная работа, неограниченный срок, открытый контракт, надёжная занятость
le CDD, срочный контракт, временный договор, ограниченный срок, краткосрочная работа, фиксированный контракт, сезонный договор
l'intérim, временная работа, агентская занятость, замещение, краткосрочный труд, подряд, временная должность
le stage, стажировка, практика, обучение на рабочем месте, испытательный срок, профессиональная подготовка, интернатура
le stagiaire, стажёр, практикант, ученик, обучающийся, интерн, временный сотрудник
le bénévole, волонтёр, доброволец, безвозмездный помощник, неоплачиваемый работник, участник, помощник на общественных началах
le salarié, наёмный работник, сотрудник, служащий, получающий зарплату, штатный сотрудник, трудящийся по найму
le fonctionnaire, государственный служащий, чиновник, бюджетник, работник госслужбы, должностное лицо, чиновничий работник
le indépendant, самозанятый, фрилансер, независимый работник, предприниматель, автономный специалист, свободный профессионал
le freelance, фрилансер, свободный специалист, внештатный работник, независимый подрядчик, удалённый исполнитель, самозанятый
le chef, начальник, руководитель, босс, глава, лидер, директор
le manager, менеджер, руководитель, управляющий, супервайзер, начальник отдела, координатор
le directeur, директор, руководитель, управляющий, глава компании, исполнительный директор, начальник
le PDG, генеральный директор, CEO, президент компании, топ-менеджер, главный руководитель, высшее должностное лицо
le cadre, руководитель, менеджер среднего звена, специалист, административный работник, управленец, офисный работник
l'agent, агент, сотрудник, представитель, служащий, специалист, исполнитель
le collègue, коллега, сослуживец, товарищ по работе, партнёр, сотрудник, напарник
le subordonné, подчинённый, нижестоящий, подотчётный, младший сотрудник, подведомственный, исполнитель
le supérieur, начальник, вышестоящий, руководитель, старший, босс, управленец
l'équipe, команда, коллектив, группа, бригада, рабочая группа, подразделение
le service, отдел, служба, подразделение, департамент, сектор, управление
le secteur, сектор, отрасль, сфера, направление, область деятельности, сегмент
le domaine, область, сфера, домен, поле деятельности, направление, участок
la branche, отрасль, ветвь, направление, сектор, подразделение, филиал
l'industrie, промышленность, индустрия, отрасль производства, производство, сектор экономики, фабричное дело
l'entreprise, предприятие, компания, фирма, бизнес, организация, учреждение
la société, общество, компания, фирма, корпорация, акционерное общество, предприятие
la firme, фирма, компания, предприятие, деловая структура, организация, бизнес-единица
la startup, стартап, новая компания, венчурный проект, технологический стартап, молодая фирма, инновационный бизнес
la PME, малое предприятие, малый бизнес, небольшая компания, средний бизнес, локальная фирма, семейное предприятие
la multinationale, транснациональная компания, международная корпорация, глобальная фирма, мультинационал, мировая компания, крупный холдинг
le siège social, головной офис, центральный офис, штаб-квартира, главное управление, корпоративный центр, административный офис
le bureau, офис, рабочее место, кабинет, контора, рабочее помещение, стол
l'open space, открытый офис, open space, общее пространство, безкабинетный офис, современный офис, коворкинг
la réunion, собрание, совещание, встреча, заседание, конференция, обсуждение
le rendez-vous, встреча, приём, назначенное время, свидание, деловая встреча, консультация
la conférence, конференция, совещание, лекция, семинар, выступление, форум
le colloque, симпозиум, научная конференция, семинар, академическое обсуждение, круглый стол, коллоквиум
le séminaire, семинар, тренинг, учебное занятие, воркшоп, курс, практическое занятие
l'atelier, мастерская, студия, практическое занятие, воркшоп, лаборатория, цех
la formation, обучение, подготовка, курс, развитие, тренинг, образование
le perfectionnement, повышение квалификации, совершенствование, дополнительное обучение, апгрейд навыков, профессиональное развитие, углубление знаний
le développement professionnel, профессиональное развитие, карьерный рост, повышение квалификации, продвижение, обучение на работе, развитие компетенций
la compétence, компетенция, навык, умение, квалификация, способность, экспертиза
l'expertise, экспертиза, мастерство, глубокие знания, профессионализм, компетентность, специальное знание
la qualification, квалификация, подготовка, сертификат, уровень, компетенция, допуск
l'expérience, опыт, стаж, практика, багаж знаний, история работы, наработанный опыт
l'ancienneté, стаж, выслуга лет, продолжительность службы, seniority, опыт работы, длительность
le CV, резюме, автобиография, профиль, CV, жизненный путь, профессиональная анкета
la lettre de motivation, сопроводительное письмо, мотивационное письмо, заявление, cover letter, объяснительное письмо, письмо-мотивация
l'entretien, собеседование, интервью, беседа, встреча, разговор, обсуждение
l'entretien d'embauche, собеседование при приёме на работу, job interview, отборочное интервью, встреча с работодателем, кадровое собеседование, оценка кандидата
le recrutement, рекрутинг, подбор персонала, найм, отбор кадров, комплектация штата, привлечение сотрудников
embaucher, нанимать, принимать на работу, трудоустраивать, зачислять, оформлять, приглашать
licencier, увольнять, сокращать, расторгать договор, освобождать от должности, отправлять в отставку, расставаться
renvoyer, увольнять, отправлять обратно, прогонять, выгонять, расторгать, отстранять
démissionner, увольняться, подавать в отставку, уходить по собственному желанию, покидать должность, заявлять об уходе, уходить с работы
partir à la retraite, уходить на пенсию, выходить на пенсию, завершать трудовую деятельность, оставлять работу, получать пенсию, пенсионный выход
prendre sa retraite, выходить на пенсию, уходить на заслуженный отдых, завершать карьеру, пенсионный переход, получать пенсию, оставлять службу
promouvoir, продвигать, повышать в должности, повышать, назначать на вышестоящую должность, развивать, выдвигать
muter, переводить, перемещать, менять должность, переставлять, направлять в другой отдел, релоцировать
affecter, назначать, распределять, прикомандировывать, направлять, определять на должность, делегировать
déléguer, делегировать, поручать, передавать полномочия, возлагать, перепоручать, доверять
superviser, контролировать, надзирать, руководить, наблюдать, проверять, координировать
coordonner, координировать, согласовывать, организовывать, синхронизировать, выстраивать, объединять
collaborer, сотрудничать, взаимодействовать, работать вместе, партнёрствовать, участвовать совместно, объединять усилия
participer, участвовать, принимать участие, присоединяться, вносить вклад, вовлекаться, присутствовать
contribuer, вносить вклад, способствовать, участвовать, добавлять, помогать, содействовать
négocier, вести переговоры, договариваться, торговаться, обсуждать условия, заключать сделку, согласовывать
conclure, заключать, завершать, подводить итог, финализировать, подписывать, делать вывод
signer un contrat, подписывать договор, заключать контракт, оформлять соглашение, ставить подпись, ратифицировать, фиксировать условия
respecter les délais, соблюдать сроки, укладываться в время, выполнять вовремя, не опаздывать, держать график, быть пунктуальным
tenir une promesse, держать обещание, выполнять обещанное, сдерживать слово, исполнять обязательство, быть верным слову, не нарушать обещание
assumer ses responsabilités, брать на себя ответственность, нести ответственность, отвечать за действия, выполнять обязанности, признавать вину, быть ответственным  l'école, школа, учебное заведение, образовательное учреждение, место обучения, общеобразовательная школа, начальная школа
l'université, университет, высшее учебное заведение, вуз, академия, институт высшего образования, университетский кампус
la faculté, факультет, отделение университета, профильное подразделение, специальность, кафедра, направление подготовки
l'institut, институт, научное учреждение, учебный центр, специализированное заведение, исследовательский институт, академия
le lycée, лицей, старшая школа, среднее учебное заведение, гимназия, профильная школа, выпускной класс
le collège, коллеж, средняя школа, основная школа, младшие классы, среднее звено, общеобразовательная школа
l'enseignement, преподавание, обучение, образование, педагогическая деятельность, школьное обучение, передача знаний
l'éducation, образование, воспитание, обучение, развитие, просвещение, формирование личности
la pédagogie, педагогика, методика преподавания, наука об обучении, воспитательный процесс, педагогическая теория, искусство обучения
l'apprentissage, обучение, усвоение, практика, приобретение навыков, ученичество, профессиональное обучение
l'étude, изучение, учёба, исследование, анализ, научная работа, занятие наукой
la recherche, исследование, научный поиск, изыскание, изучение, научная работа, разведка
la thèse, диссертация, научная работа, тезис, исследование, кандидатская диссертация, научный труд
le mémoire, дипломная работа, научный доклад, мемуары, отчёт, курсовая работа, исследовательский труд
le diplôme, диплом, свидетельство, квалификация, документ об образовании, аттестат, сертификат
la licence, степень бакалавра, лицензия, разрешение, базовое высшее образование, первый уровень, диплом бакалавра
le master, магистратура, степень магистра, второе высшее, продвинутый уровень, магистерская программа, второй цикл
le doctorat, докторантура, степень доктора, PhD, высшая научная степень, исследовательская степень, третий цикл
le baccalauréat, аттестат зрелости, экзамен на бакалавра, выпускной экзамен, среднее образование, французский бак, итоговый экзамен
l'examen, экзамен, тест, проверка знаний, контрольная работа, испытание, оценка
le contrôle, контрольная работа, проверка, тест, экзамен, мониторинг, оценка
le partiel, промежуточный экзамен, семестровая контрольная, частичный зачёт, midterm, сессионный экзамен, модульный тест
la session, сессия, экзаменационный период, серия экзаменов, учебный блок, заседание, период испытаний
la note, оценка, отметка, балл, результат, запись, школьная оценка
la moyenne, средний балл, средняя оценка, усреднённый результат, среднее значение, типичная отметка, общий уровень
la mention, похвальная грамота, отличие, упоминание, специальная отметка, степень отличия, награда
réussir, успешно сдавать, добиваться успеха, проходить, преуспевать, достигать, выигрывать
échouer, проваливать, не сдавать, терпеть неудачу, падать, не проходить, терпеть крах
redoubler, оставаться на второй год, повторять класс, переучиваться, дублировать год, задерживаться, не переходить
sauter une classe, перескакивать класс, переходить через класс, ускорять обучение, пропускать ступень, двигаться быстрее, продвигаться
s'inscrire, записываться, регистрироваться, поступать, подавать заявление, зачисляться, вступать
se désinscrire, отчисляться, сниматься с учёта, отменять запись, выходить, покидать, отказываться
assister aux cours, посещать занятия, ходить на уроки, присутствовать, участвовать в занятиях, слушать лекции, бывать на парах
sécher les cours, прогуливать уроки, пропускать занятия, не ходить, избегать, сачковать, манкировать
réviser, повторять материал, готовиться, перечитывать, освежать знания, зубрить, пересматривать
apprendre par cœur, учить наизусть, запоминать, заучивать, зубрить, фиксировать в памяти, выучивать слово в слово
rédiger un devoir, писать задание, составлять работу, оформлять, готовить текст, сочинять, выполнять письменное задание
rendre un devoir, сдавать работу, представлять задание, отдавать, подавать, вручать, предоставлять
corriger un devoir, проверять задание, исправлять, оценивать, править, выставлять отметку, рецензировать  l'élève, ученик, школьник, учащийся, воспитанник, студент школы, ребёнок в классе
l'étudiant, студент, учащийся вуза, курсант, обучающийся, университетский студент, молодой специалист
l'étudiante, студентка, учащаяся вуза, девушка-студентка, курсантка, обучающаяся, университетская студентка
le professeur, профессор, преподаватель, учитель высшей школы, лектор, педагог вуза, научный педагог
l'enseignant, учитель, преподаватель, педагог, наставник, воспитатель, школьный учитель
le maître, учитель, мастер, наставник, руководитель, главный педагог, воспитатель
le formateur, тренер, инструктор, преподаватель курсов, коуч, специалист по обучению, разработчик тренингов
le tuteur, куратор, наставник, репетитор, руководитель, опекун, помощник в обучении
le camarade, одноклассник, товарищ, сокурсник, приятель, напарник по учёбе, соученик
le copain, приятель, друг, одноклассник, товарищ, парень, школьный друг
la copine, подруга, одноклассница, приятельница, девушка-друг, школьная подруга, соученица
le groupe de travail, учебная группа, команда по проекту, рабочая группа, коллектив, проектная команда, группа для занятий
la bibliothèque, библиотека, книгохранилище, читальный зал, фонд книг, библиотечный зал, место для чтения
le CDI, медиатека, школьная библиотека, центр ресурсов, информационный центр, ресурсная библиотека, медиацентр
le laboratoire, лаборатория, научная лаборатория, кабинет для экспериментов, исследовательская комната, практическая лаборатория, химическая лаборатория
l'amphithéâtre, лекционный зал, амфитеатр, большая аудитория, университетский зал, место для лекций, ступенчатый зал
la salle de classe, класс, учебный класс, аудитория, школьный кабинет, помещение для уроков, классная комната
le tableau, доска, классная доска, школьная доска, поверхность для письма, меловая доска, экран
le tableau blanc, белая доска, маркерная доска, интерактивная доска, современная доска, поверхность для маркеров, электронная доска
le feutre, маркер, фломастер, маркер для доски, цветной маркер, инструмент для письма, фетровый карандаш
la craie, мел, школьный мел, белый мел, пишущий материал, кусок мела, инструмент для доски
le cahier, тетрадь, школьная тетрадь, блокнот для записей, рабочая тетрадь, конспект, записная книжка
le classeur, папка, скоросшиватель, органайзер, папка для бумаг, файловый органайзер, держатель документов
la trousse, пенал, школьный пенал, набор для письма, контейнер для принадлежностей, футляр, сумочка для ручек
le stylo, ручка, шариковая ручка, пишущий инструмент, авторучка, чернильная ручка, перьевая ручка
le crayon, карандаш, графитовый карандаш, простой карандаш, инструмент для письма, цветной карандаш, грифель
la gomme, ластик, резинка, стиральная резинка, инструмент для исправлений, резиновый ластик, корректор
la règle, линейка, измерительная линейка, инструмент для черчения, прямая рейка, мерная линейка, чертежный инструмент
la calculatrice, калькулятор, счётная машина, электронный калькулятор, вычислительное устройство, математический прибор, карманный калькулятор
l'ordinateur portable, ноутбук, портативный компьютер, мобильный компьютер, лэптоп, переносной компьютер, рабочий ноутбук
la tablette, планшет, цифровой планшет, гаджет, сенсорный планшет, электронный блокнот, портативный экран
le smartphone, смартфон, мобильный телефон, умный телефон, коммуникатор, карманный компьютер, сенсорный телефон
l'imprimante, принтер, печатающее устройство, лазерный принтер, струйный принтер, копировальный аппарат, выводное устройство
le scanner, сканер, устройство сканирования, цифровой сканер, копировальный сканер, ввод изображения, сканирующий прибор
le projet, проект, задание, план, учебный проект, работа, инициатива
l'exposé, доклад, презентация, выступление, сообщение, устный доклад, отчёт
